test,time(microseconds)
test5,617
test6,418
test7,205
test8,203
test9,215
test10,311
test11,226
test12,224
test13,214
test14,387
test15,228
test16,238
test17,244
test18,289
test19,259
test20,345
test21,312
test22,258
test23,264
test24,267
test25,271
test26,282
test27,288
test28,288
test29,293
test30,290
test31,464
test32,308
test33,311
test34,528
test35,482
test36,388
test37,350
test38,749
test39,377
test40,702
test41,389
test42,397
test43,500
test44,508
test45,432
test46,486
test47,512
test48,522
test49,501
test50,779
test51,561
test52,863
test53,585
test54,729
test55,557
test56,838
test57,664
test58,717
test59,670
test60,920
test61,788
test62,816
test63,1165
test64,753
test65,840
test66,769
test67,964
test68,1034
test69,853
test70,856
test71,894
test72,914
test73,927
test74,1357
test75,1159
test76,1022
test77,1234
test78,1248
test79,1094
test80,1179
test81,1278
test82,1259
test83,1348
test84,1521
test85,1336
test86,1470
test87,1675
test88,1423
test89,1476
test90,1558
test91,3302
test92,1687
test93,1655
test94,1763
test95,1871
test96,1962
test97,1864
test98,1973
test99,2092
test100,1988
test101,2022
test102,2164
test103,2268
test104,2233
test105,2245
test106,2463
test107,2490
test108,2447
test109,2570
test110,2622
test111,2637
test112,2722
test113,2706
test114,2754
test115,2999
test116,2942
test117,3020
test118,3134
test119,2970
test120,3265
test121,3117
test122,3259
test123,3311
test124,3511
test125,3530
test126,3932
test127,3818
test128,3797
test129,3990
test130,3983
test131,4028
test132,4154
test133,4262
test134,4318
test135,4326
test136,4359
test137,4656
test138,5101
test139,4619
test140,5443
test141,5205
test142,4980
test143,6167
test144,5682
test145,5247
test146,5403
test147,5223
test148,5872
test149,5618
test150,6455
test151,5998
test152,6136
test153,6843
test154,6999
test155,6939
test156,7587
test157,6659
test158,7547
test159,6888
test160,6786
test161,7866
test162,7223
test163,7547
test164,7575
test165,7466
test166,7427
test167,7734
test168,8132
test169,8070
test170,8945
test171,8563
test172,10402
test173,9268
test174,9869
test175,9467
test176,9034
test177,9080
test178,9850
test179,9584
test180,10173
test181,10080
test182,10237
test183,11305
test184,10583
test185,10560
test186,10771
test187,11047
test188,13226
test189,12220
test190,11765
test191,11373
test192,12071
test193,13046
test194,12303
test195,15396
test196,13099
test197,12860
test198,12676
test199,12529
test200,13525
test201,13481
test202,13992
test203,14130
test204,13578
test205,13987
test206,14083
test207,14401
test208,16439
test209,15719
test210,15467
test211,16659
test212,15444
test213,15612
test214,16289
test215,16264
test216,18292
test217,16599
test218,17202
test219,18463
test220,16995
test221,16955
test222,19092
test223,17365
test224,19046
test225,18819
test226,20641
test227,20659
test228,21092
test229,22053
test230,20249
test231,22636
test232,22306
test233,21185
test234,22821
test235,22015
test236,21644
test237,22651
test238,24037
test239,24463
test240,21770
test241,21858
test242,25666
test243,26051
test244,26142
test245,25020
test246,24746
test247,26688
test248,26888
test249,25171
test250,25008
test251,25686
test252,25564
test253,26327
test254,30613
test255,27969
test256,28899
test257,26258
test258,27002
test259,28700
test260,28449
test261,29959
test262,33942
test263,66535
test264,35678
test265,42628
test266,32225
test267,31313
test268,31356
test269,29796
test270,30788
test271,35421
test272,31902
test273,31678
test274,33296
test275,36342
test276,33970
test277,34708
test278,35156
test279,34183
test280,34682
test281,34814
test282,36507
test283,37489
test284,36646
test285,37179
test286,38470
test287,39494
test288,36828
test289,41042
test290,39809
test291,39069
test292,39909
test293,39763
test294,42297
test295,39567
test296,42610
test297,44220
test298,43347
test299,47986
test300,43241
test301,45196
test302,47793
test303,42182
test304,46314
test305,48314
test306,47575
test307,45736
test308,46973
test309,45432
test310,48139
test311,52073
test312,48187
test313,50983
test314,51779
test315,66229
test316,49659
test317,50531
test318,51965
test319,57737
test320,52742
test321,52859
test322,55558
test323,60477
test324,54730
test325,55996
test326,58578
test327,56286
test328,56254
test329,57290
test330,58219
test331,75651
test332,67800
test333,58511
test334,59292
test335,59424
test336,61338
test337,65396
test338,65402
test339,61073
test340,63536
test341,62262
test342,70335
test343,72027
test344,64384
test345,70110
test346,69798
test347,69058
test348,68183
test349,71164
test350,82779
test351,73293
test352,72311
test353,74598
test354,71955
test355,73436
test356,73926
test357,79697
test358,81425
test359,72144
test360,74487
test361,76797
test362,74627
test363,77325
test364,78082
test365,74166
test366,79001
test367,87908
test368,78546
test369,84780
test370,88915
test371,81726
test372,87212
test373,84789
test374,83532
test375,85284
test376,91085
test377,95167
test378,88763
test379,109061
test380,92493
test381,88288
test382,88882
test383,96047
test384,91421
test385,95815
test386,93789
test387,93047
test388,100435
test389,94489
test390,97868
test391,98712
test392,94532
test393,100055
test394,97736
test395,105052
test396,96428
test397,101678
test398,108371
test399,105976
test400,105768
test401,111712
test402,102058
test403,104192
test404,105965
test405,109786
test406,111188
test407,105309
test408,138515
test409,112998
test410,108535
test411,109124
test412,116826
test413,118472
test414,124115
test415,130484
test416,111432
test417,124637
test418,125890
test419,126220
test420,121898
test421,121275
test422,117358
test423,117824
test424,118951
test425,119198
test426,125844
test427,123757
test428,118424
test429,128168
test430,130161
test431,135638
test432,122311
test433,139977
test434,134429
test435,127624
test436,132216
test437,151523
test438,132659
test439,145352
test440,146078
test441,138887
test442,132180
test443,133785
test444,144634
test445,149660
test446,138654
test447,147055
test448,153855
test449,140622
test450,149072
test451,152762
test452,148586
test453,147581
test454,153395
test455,145162
test456,156993
test457,151573
test458,158120
test459,170424
test460,148184
test461,153167
test462,157173
test463,159366
test464,168548
test465,159416
test466,168995
test467,160870
test468,168482
test469,158558
test470,165044
test471,162956
test472,167213
test473,166647
test474,170841
test475,178677
test476,165614
test477,173917
test478,193146
test479,183056
test480,184077
test481,187036
test482,176067
test483,171974
test484,180600
test485,188834
test486,187031
test487,187982
test488,181148
test489,185611
test490,188733
test491,191563
test492,191030
test493,185438
test494,189554
test495,186977
test496,208641
test497,190440
test498,194394
test499,201033
test500,192676
